[INFO]: ..........................START........................
[INFO]: ..........................START........................
[INFO]: Candle:2023-06-09 13:49:00 , Open:18602.3 , High:18603.35 , Low:18601.15 , Close:18602.9
[INFO]: Candle:2023-06-09 13:50:00 , Open:18602.9 , High:18602.9 , Low:18587.9 , Close:18587.9
[INFO]: Candle:2023-06-09 13:51:00 , Open:18587.5 , High:18587.5 , Low:18580.85 , Close:18582.0
[INFO]: Candle:2023-06-09 13:52:00 , Open:18581.9 , High:18581.95 , Low:18577.9 , Close:18578.95
[INFO]: Candle:2023-06-09 13:53:00 , Open:18579.5 , High:18583.25 , Low:18578.65 , Close:18581.65
[INFO]: Candle:2023-06-09 13:55:00 , Open:18577.35 , High:18580.6 , Low:18574.55 , Close:18575.1
[INFO]: Candle:2023-06-09 13:56:00 , Open:18576.3 , High:18579.4 , Low:18575.55 , Close:18577.85
[INFO]: Candle:2023-06-09 13:57:00 , Open:18577.55 , High:18580.0 , Low:18576.2 , Close:18578.05
[INFO]: Candle:2023-06-09 13:58:00 , Open:18578.6 , High:18580.0 , Low:18577.05 , Close:18578.3
[INFO]: Candle:2023-06-09 13:59:00 , Open:18578.45 , High:18585.35 , Low:18578.15 , Close:18583.45
[INFO]: Candle:2023-06-09 14:00:00 , Open:18582.9 , High:18586.6 , Low:18582.2 , Close:18582.55
[INFO]: Candle:2023-06-09 14:01:00 , Open:18583.6 , High:18583.95 , Low:18578.35 , Close:18578.35
[INFO]: Candle:2023-06-09 14:02:00 , Open:18578.4 , High:18581.35 , Low:18576.35 , Close:18580.55
[INFO]: Candle:2023-06-09 14:03:00 , Open:18580.15 , High:18583.55 , Low:18579.65 , Close:18582.3
[INFO]: Candle:2023-06-09 14:05:00 , Open:18577.65 , High:18581.45 , Low:18576.45 , Close:18576.45
